algorithm n comparisons
bubble 0 0
insertion-smart 0 0
insertion-dumb 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion-smart 0 0
insertion-dumb 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion-smart 0 0
insertion-dumb 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion-smart 0 0
insertion-dumb 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion-smart 0 0
insertion-dumb 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion-smart 0 0
insertion-dumb 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion-smart 0 0
insertion-dumb 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion-smart 0 0
insertion-dumb 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion-smart 0 0
insertion-dumb 0 0
selection 0 0
quick 0 0
bubble 0 0
insertion-smart 0 0
insertion-dumb 0 0
selection 0 0
quick 0 0
bubble 1 0
insertion-smart 1 0
insertion-dumb 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion-smart 1 0
insertion-dumb 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion-smart 1 0
insertion-dumb 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion-smart 1 0
insertion-dumb 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion-smart 1 0
insertion-dumb 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion-smart 1 0
insertion-dumb 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion-smart 1 0
insertion-dumb 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion-smart 1 0
insertion-dumb 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion-smart 1 0
insertion-dumb 1 0
selection 1 0
quick 1 0
bubble 1 0
insertion-smart 1 0
insertion-dumb 1 0
selection 1 0
quick 1 0
bubble 10 81
insertion-smart 10 30
insertion-dumb 10 23
selection 10 45
quick 10 36
bubble 10 63
insertion-smart 10 30
insertion-dumb 10 32
selection 10 45
quick 10 34
bubble 10 72
insertion-smart 10 30
insertion-dumb 10 31
selection 10 45
quick 10 31
bubble 10 45
insertion-smart 10 30
insertion-dumb 10 27
selection 10 45
quick 10 31
bubble 10 81
insertion-smart 10 30
insertion-dumb 10 40
selection 10 45
quick 10 31
bubble 10 54
insertion-smart 10 30
insertion-dumb 10 23
selection 10 45
quick 10 31
bubble 10 81
insertion-smart 10 30
insertion-dumb 10 30
selection 10 45
quick 10 45
bubble 10 54
insertion-smart 10 30
insertion-dumb 10 25
selection 10 45
quick 10 31
bubble 10 72
insertion-smart 10 30
insertion-dumb 10 29
selection 10 45
quick 10 30
bubble 10 54
insertion-smart 10 30
insertion-dumb 10 26
selection 10 45
quick 10 48
bubble 100 9900
insertion-smart 100 665
insertion-dumb 100 2556
selection 100 4950
quick 100 922
bubble 100 9504
insertion-smart 100 665
insertion-dumb 100 2484
selection 100 4950
quick 100 866
bubble 100 8316
insertion-smart 100 665
insertion-dumb 100 2476
selection 100 4950
quick 100 959
bubble 100 8019
insertion-smart 100 665
insertion-dumb 100 2499
selection 100 4950
quick 100 932
bubble 100 7326
insertion-smart 100 665
insertion-dumb 100 2356
selection 100 4950
quick 100 815
bubble 100 9702
insertion-smart 100 665
insertion-dumb 100 2483
selection 100 4950
quick 100 793
bubble 100 8811
insertion-smart 100 665
insertion-dumb 100 2563
selection 100 4950
quick 100 860
bubble 100 8712
insertion-smart 100 665
insertion-dumb 100 2638
selection 100 4950
quick 100 903
bubble 100 8514
insertion-smart 100 665
insertion-dumb 100 2589
selection 100 4950
quick 100 828
bubble 100 8514
insertion-smart 100 665
insertion-dumb 100 2676
selection 100 4950
quick 100 799
bubble 1000 938061
insertion-smart 1000 9966
insertion-dumb 1000 257069
selection 1000 499500
quick 1000 15845
bubble 1000 936063
insertion-smart 1000 9966
insertion-dumb 1000 254429
selection 1000 499500
quick 1000 14627
bubble 1000 982017
insertion-smart 1000 9966
insertion-dumb 1000 252389
selection 1000 499500
quick 1000 16152
bubble 1000 985014
insertion-smart 1000 9966
insertion-dumb 1000 250943
selection 1000 499500
quick 1000 14485
bubble 1000 987012
insertion-smart 1000 9966
insertion-dumb 1000 253201
selection 1000 499500
quick 1000 14571
bubble 1000 992007
insertion-smart 1000 9966
insertion-dumb 1000 257531
selection 1000 499500
quick 1000 14492
bubble 1000 965034
insertion-smart 1000 9966
insertion-dumb 1000 248695
selection 1000 499500
quick 1000 14724
bubble 1000 947052
insertion-smart 1000 9966
insertion-dumb 1000 235102
selection 1000 499500
quick 1000 14183
bubble 1000 985014
insertion-smart 1000 9966
insertion-dumb 1000 247883
selection 1000 499500
quick 1000 13321
bubble 1000 929070
insertion-smart 1000 9966
insertion-dumb 1000 257680
selection 1000 499500
quick 1000 15176
bubble 10000 99390060
insertion-smart 10000 133602
insertion-dumb 10000 24872128
selection 10000 49995000
quick 10000 200356
bubble 10000 99170082
insertion-smart 10000 133602
insertion-dumb 10000 25092941
selection 10000 49995000
quick 10000 213086
bubble 10000 97730226
insertion-smart 10000 133602
insertion-dumb 10000 25041165
selection 10000 49995000
quick 10000 199122
bubble 10000 98040195
insertion-smart 10000 133602
insertion-dumb 10000 25136206
selection 10000 49995000
quick 10000 211193
bubble 10000 98410158
insertion-smart 10000 133602
insertion-dumb 10000 25125637
selection 10000 49995000
quick 10000 201917
bubble 10000 98610138
insertion-smart 10000 133602
insertion-dumb 10000 24746697
selection 10000 49995000
quick 10000 209042
bubble 10000 99290070
insertion-smart 10000 133602
insertion-dumb 10000 25017363
selection 10000 49995000
quick 10000 216269
bubble 10000 98520147
insertion-smart 10000 133602
insertion-dumb 10000 24920895
selection 10000 49995000
quick 10000 199206
bubble 10000 98860113
insertion-smart 10000 133602
insertion-dumb 10000 25086336
selection 10000 49995000
quick 10000 198826
bubble 10000 98450154
insertion-smart 10000 133602
insertion-dumb 10000 25317992
selection 10000 49995000
quick 10000 203485
